Temperature_F,Temperature_C,Resistance_Ohm
32.00,0,62775.7
33.80,1,60014.5
35.60,2,57390.3
37.40,3,54895.4
39.20,4,52522.9
41.00,5,50266.1
42.80,6,48118.9
44.60,7,46075.4
46.40,8,44129.9
48.20,9,42277.4
50.00,10,40512.9
51.80,11,38831.8
53.60,12,37229.7
55.40,13,35702.5
57.20,14,34246.4
59.00,15,32857.6
60.80,16,31532.8
62.60,17,30268.7
64.40,18,29062.1
66.20,19,27910.2
68.00,20,26810.2
69.80,21,25759.6
71.60,22,24755.8
73.40,23,23796.6
75.20,24,22879.8
77.00,25,22003.2
78.80,26,21165.0
80.60,27,20363.1
82.40,28,19596.0
84.20,29,18861.9
86.00,30,18159.2
87.80,31,17486.5
89.60,32,16842.2
91.40,33,16225.2
93.20,34,15634.0
95.00,35,15067.5
96.80,36,14524.5
98.60,37,14004.0
100.40,38,13504.9
102.20,39,13026.2
104.00,40,12567.0
105.80,41,12126.3
107.60,42,11703.5
109.40,43,11297.6
111.20,44,10907.9
113.00,45,10533.7
114.80,46,10174.2
116.60,47,9828.9
118.40,48,9497.1
120.20,49,9178.2
122.00,50,8871.7
